"SERIES 
","BEST BID QTY 
","BEST BID PRICE 
","BEST OFFERS PRICE 
","BEST OFFERS QTY 
","LTP 
","UNDERLYING LTP 
","FUTURES LTP 
","SPREAD 
","SPREAD 
(%)","OPEN POSITIONS 
","ANNUALISED YIELD 
(% p.a)","VOLUME 
","TURNOVER 
(lac)","TRANSACTION VALUE 
(lac)","CA 
"
"Oct-2025","-","-","-","-","-","682.00","681.85","0.15","0.02","-","-","-","-","-","04-Jun-2025"
"Oct-2025(OD)**","-","-","-","-","-","682.00","681.85","0.15","0.02","-","-","-","-","-","04-Jun-2025"
"Oct-2025(ON)**","-","-","-","-","-","682.00","681.85","0.15","0.02","-","-","-","-","-","04-Jun-2025"
"Oct-2025(O1)**","-","-","1.00","3,015","-","682.00","681.85","0.15","0.02","-","7.65","-","-","-","04-Jun-2025"
"Oct-2025(O2)**","-","-","-","-","-","682.00","681.85","0.15","0.02","-","-","-","-","-","04-Jun-2025"
"Oct-2025","-","-","0.86","100","-","682.00","681.85","0.15","0.02","8,800","9.56","-","-","-","04-Jun-2025"
"Nov-2025","-","-","0.90","698","-","682.00","684.00","-2.00","-0.29","-","3.04","-","-","-","04-Jun-2025"
